Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Federico Valverde,uy URU,MF,25,37,33,2904.0,2.0,7.0,0.0,2.0,0.0,3.5,5.8,Real-Madrid
Antonio Rüdiger,de GER,DF,30,33,30,2709.0,1.0,0.0,0.0,7.0,0.0,1.5,1.2,Real-Madrid
Rodrygo,br BRA,FW,22,34,28,2380.0,10.0,5.0,0.0,2.0,0.0,11.7,4.0,Real-Madrid
Jude Bellingham,eng ENG,MF,20,28,27,2315.0,19.0,6.0,1.0,5.0,1.0,11.1,5.3,Real-Madrid
Dani Carvajal,es ESP,DF,31,28,25,2171.0,4.0,3.0,0.0,5.0,1.0,1.7,2.7,Real-Madrid
Toni Kroos,de GER,MF,33,33,24,2124.0,1.0,8.0,0.0,3.0,0.0,1.6,4.9,Real-Madrid
Aurélien Tchouaméni,fr FRA,"MF,DF",23,27,22,1987.0,3.0,1.0,0.0,7.0,0.0,1.3,0.9,Real-Madrid
Vinicius Júnior,br BRA,FW,23,26,22,1864.0,15.0,5.0,1.0,7.0,0.0,13.1,4.2,Real-Madrid
Andriy Lunin,ua UKR,GK,24,21,21,1890.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,Real-Madrid
Eduardo Camavinga,fr FRA,"MF,DF",20,31,21,1817.0,0.0,2.0,0.0,9.0,0.0,0.9,1.4,Real-Madrid
Ferland Mendy,fr FRA,DF,28,23,21,1720.0,0.0,0.0,0.0,5.0,0.0,0.2,0.9,Real-Madrid
Nacho,es ESP,DF,33,29,18,1746.0,0.0,1.0,0.0,4.0,2.0,0.5,1.2,Real-Madrid
Luka Modrić,hr CRO,MF,37,32,18,1688.0,2.0,6.0,0.0,2.0,0.0,1.3,5.5,Real-Madrid
Brahim Díaz,ma MAR,"FW,MF",23,31,18,1545.0,8.0,6.0,0.0,0.0,0.0,5.7,4.4,Real-Madrid
Joselu,es ESP,FW,33,34,15,1687.0,10.0,2.0,0.0,1.0,0.0,11.6,1.7,Real-Madrid
Fran Garcia,es ESP,DF,23,25,15,1398.0,1.0,5.0,0.0,2.0,0.0,0.5,2.4,Real-Madrid
Lucas Vázquez,es ESP,DF,32,29,14,1419.0,3.0,6.0,0.0,0.0,0.0,1.2,3.8,Real-Madrid
David Alaba,at AUT,DF,31,14,14,1154.0,0.0,1.0,0.0,2.0,0.0,1.0,0.7,Real-Madrid
Kepa Arrizabalaga,es ESP,GK,28,14,13,1198.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Real-Madrid
Éder Militão,br BRA,DF,25,10,6,496.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Real-Madrid
Dani Ceballos,es ESP,"MF,FW",26,20,5,598.0,0.0,2.0,0.0,2.0,0.0,0.3,1.5,Real-Madrid
Arda Güler,tr TUR,"FW,MF",18,10,4,377.0,6.0,0.0,0.0,1.0,0.0,1.4,0.1,Real-Madrid
Thibaut Courtois,be BEL,GK,31,4,4,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Real-Madrid
Nicolás Paz,ar ARG,"MF,FW",18,4,0,23.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Real-Madrid
Gonzalo García,es ESP,"FW,MF",19,2,0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Madrid
Mario Martín,es ESP,MF,19,2,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Madrid
Álvaro Muñoz,uy URU,FW,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Madrid
Lucas Cañizares,es ESP,GK,21,0,0,,,,,,,,,Real-Madrid
Álvaro Carrillo,es ESP,DF,21,0,0,,,,,,,,,Real-Madrid
Fran,es ESP,GK,18,0,0,,,,,,,,,Real-Madrid
Fran González,es ESP,DF,24,0,0,,,,,,,,,Real-Madrid
Mario de Luis,es ESP,GK,21,0,0,,,,,,,,,Real-Madrid
Álvaro Odriozola,es ESP,DF,27,0,0,,,,,,,,,Real-Madrid
Diego Piñeiro,es ESP,GK,19,0,0,,,,,,,,,Real-Madrid
Edgar Pujol,es ESP,DF,18,0,0,,,,,,,,,Real-Madrid
Jacobo Ramón,es ESP,DF,18,0,0,,,,,,,,,Real-Madrid
Vinicius Tobias,br BRA,DF,19,0,0,,,,,,,,,Real-Madrid
Theo Zidane,fr FRA,MF,21,0,0,,,,,,,,,Real-Madrid
Squad Total,,,,38,418,3420.0,85.0,66.0,2.0,69.0,4.0,68.8,52.5,Real-Madrid
İlkay Gündoğan,de GER,MF,32,36,33,2994.0,5.0,9.0,1.0,5.0,0.0,7.3,10.3,Barcelona
Jules Koundé,fr FRA,DF,24,35,32,2899.0,1.0,2.0,0.0,4.0,0.0,2.0,2.2,Barcelona
Robert Lewandowski,pl POL,FW,34,35,32,2750.0,19.0,8.0,4.0,5.0,0.0,18.1,4.9,Barcelona
João Cancelo,pt POR,DF,29,32,29,2503.0,2.0,4.0,0.0,7.0,0.0,1.6,6.1,Barcelona
Marc-André ter Stegen,de GER,GK,31,28,28,2520.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,Barcelona
Andreas Christensen,dk DEN,"DF,MF",27,30,27,1979.0,2.0,2.0,0.0,4.0,0.0,1.0,1.1,Barcelona
Lamine Yamal,es ESP,FW,16,37,22,2201.0,5.0,5.0,0.0,3.0,0.0,5.2,6.2,Barcelona
Ronald Araújo,uy URU,DF,24,25,21,1997.0,1.0,2.0,0.0,6.0,0.0,2.1,1.4,Barcelona
Frenkie de Jong,nl NED,MF,26,20,20,1634.0,2.0,0.0,0.0,7.0,0.0,0.7,2.2,Barcelona
Pau Cubarsí,es ESP,DF,16,19,18,1558.0,0.0,0.0,0.0,4.0,0.0,0.1,0.4,Barcelona
João Félix,pt POR,FW,23,30,18,1540.0,7.0,3.0,0.0,3.0,0.0,8.7,3.1,Barcelona
Raphinha,br BRA,"FW,MF",26,28,17,1368.0,6.0,9.0,1.0,4.0,1.0,7.4,5.7,Barcelona
Pedri,es ESP,"MF,FW",20,24,16,1476.0,4.0,2.0,0.0,3.0,0.0,3.1,4.2,Barcelona
Alejandro Balde,es ESP,DF,19,18,15,1378.0,0.0,1.0,0.0,1.0,0.0,0.1,1.2,Barcelona
Fermin López,es ESP,"MF,FW",20,31,14,1446.0,8.0,0.0,0.0,2.0,0.0,7.5,1.1,Barcelona
Iñigo Martínez,es ESP,DF,32,20,13,1296.0,0.0,0.0,0.0,5.0,0.0,0.4,0.0,Barcelona
Ferrán Torres,es ESP,FW,23,29,12,1211.0,7.0,2.0,0.0,2.0,0.0,5.5,2.7,Barcelona
Oriol Romeu,es ESP,MF,31,28,11,936.0,0.0,1.0,0.0,4.0,0.0,0.7,1.3,Barcelona
Gavi,es ESP,"MF,FW",18,12,10,944.0,1.0,1.0,0.0,5.0,0.0,0.9,1.1,Barcelona
Iñaki Peña,es ESP,GK,24,10,10,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Sergi Roberto,es ESP,"MF,DF",31,14,10,860.0,3.0,2.0,0.0,4.0,0.0,1.7,0.8,Barcelona
Héctor Fort,es ESP,DF,16,7,4,318.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,Barcelona
Marcos Alonso,es ESP,DF,32,5,3,252.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,Barcelona
Vitor Roque,br BRA,FW,18,14,2,328.0,2.0,0.0,0.0,4.0,1.0,2.5,0.0,Barcelona
Marc Guiu,es ESP,"FW,MF",17,3,1,74.0,1.0,0.0,0.0,1.0,0.0,0.8,0.3,Barcelona
Abde Ezzalzouli,ma MAR,"FW,MF",21,2,0,68.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Barcelona
Eric García,es ESP,DF,22,2,0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Barcelona
Ansu Fati,es ESP,"MF,FW",20,3,0,50.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,Barcelona
Marc Casado,es ESP,MF,19,2,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Ander Astralaga,es ESP,GK,19,0,0,,,,,,,,,Barcelona
Aleix Garrido,es ESP,MF,19,0,0,,,,,,,,,Barcelona
Unai Hernandez,es ESP,MF,18,0,0,,,,,,,,,Barcelona
Diego Kochen,us USA,GK,17,0,0,,,,,,,,,Barcelona
Mikayil Ngor Faye,sn SEN,MF,19,0,0,,,,,,,,,Barcelona
Pau Prim,es ESP,MF,17,0,0,,,,,,,,,Barcelona
Pau Victor Delgado,es ESP,FW,21,0,0,,,,,,,,,Barcelona
Áron Yaakobishvili,hu HUN,GK,17,0,0,,,,,,,,,Barcelona
Squad Total,,,,38,418,3420.0,76.0,55.0,6.0,87.0,2.0,77.6,57.4,Barcelona
Paulo Gazzaniga,ar ARG,GK,31,,38,3420.0,0.0,0.0,0.0,2.0,0.0,0.0,0.7,Girona
Aleix García,es ESP,MF,26,,36,3199.0,3.0,6.0,0.0,4.0,1.0,1.8,5.5,Girona
Miguel Gutiérrez,es ESP,DF,22,,35,3032.0,2.0,7.0,0.0,4.0,0.0,2.8,7.5,Girona
Sávio,br BRA,"FW,MF",19,,35,2976.0,9.0,10.0,0.0,5.0,0.0,6.1,7.9,Girona
Daley Blind,nl NED,DF,33,,33,2972.0,1.0,2.0,0.0,6.0,0.0,1.7,1.1,Girona
Iván Martín,es ESP,MF,24,,33,2729.0,5.0,4.0,0.0,5.0,0.0,2.9,3.4,Girona
Artem Dovbyk,ua UKR,FW,26,,32,2587.0,24.0,8.0,7.0,2.0,0.0,24.2,6.2,Girona
Eric García,es ESP,DF,22,,30,2637.0,5.0,0.0,0.0,4.0,0.0,2.8,0.5,Girona
Yangel Herrera,ve VEN,MF,25,,27,2107.0,5.0,0.0,0.0,9.0,0.0,4.9,2.4,Girona
Viktor Tsyhankov,ua UKR,"MF,FW",25,,26,2052.0,8.0,7.0,0.0,0.0,0.0,6.2,5.9,Girona
David López,es ESP,DF,33,,25,1965.0,3.0,0.0,0.0,4.0,0.0,2.1,0.2,Girona
Yan Couto,br BRA,"DF,FW",21,,24,2245.0,1.0,8.0,0.0,8.0,0.0,1.5,4.2,Girona
Arnau Martinez,es ESP,DF,20,,14,1241.0,0.0,2.0,0.0,5.0,0.0,0.2,1.4,Girona
Portu,es ESP,"MF,FW",31,,11,1188.0,7.0,5.0,0.0,3.0,0.0,3.4,3.5,Girona
Juanpe,es ESP,DF,32,,6,746.0,0.0,0.0,0.0,4.0,0.0,0.2,0.0,Girona
Cristhian Stuani,uy URU,FW,36,,5,804.0,9.0,3.0,0.0,6.0,0.0,9.6,1.9,Girona
Pablo Torre,es ESP,"MF,FW",20,,4,701.0,0.0,2.0,0.0,1.0,0.0,0.8,0.9,Girona
Valery Fernández,es ESP,"MF,FW",23,,2,506.0,2.0,0.0,0.0,1.0,0.0,0.7,0.8,Girona
Jhon Solis,co COL,MF,18,,2,384.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,Girona
Antal Yaakobishvili,hu HUN,DF,19,,0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,Girona
Jastin García,es ESP,FW,19,,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Toni Villa,es ESP,FW,28,,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Ibrahima Kebe,ml MLI,MF,22,,0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Girona
Bernardo Espinosa,co COL,DF,34,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Silvi Clúa,es ESP,MF,18,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Juan Carlos,es ESP,GK,35,,0,,0.0,0.0,0.0,1.0,0.0,,,Girona
Iker Almena,es ESP,FW,19,,0,,,,,,,,,Girona
Ricard Artero,es ESP,MF,20,,0,,,,,,,,,Girona
Santiago Bueno,uy URU,DF,24,,0,,,,,,,,,Girona
Toni Fuidias,es ESP,GK,22,,0,,,,,,,,,Girona
Borja García,es ESP,"FW,MF",32,,0,,,,,,,,,Girona
Carles Garrido,es ESP,FW,18,,0,,,,,,,,,Girona
Eric Monjonell,es ESP,DF,21,,0,,,,,,,,,Girona
Manu Vallejo,es ESP,"FW,MF",26,,0,,,,,,,,,Girona
Squad Total,,,,,418,3420.0,84.0,64.0,7.0,75.0,1.0,70.8,54.0,Girona
Jan Oblak,si SVN,GK,30,38,38,3420.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Atletico-Madrid
Koke,es ESP,MF,31,35,32,2493.0,0.0,4.0,0.0,5.0,0.0,0.4,3.6,Atletico-Madrid
Antoine Griezmann,fr FRA,"FW,MF",32,33,31,2644.0,16.0,6.0,4.0,5.0,0.0,12.3,5.6,Atletico-Madrid
Axel Witsel,be BEL,DF,34,35,30,2783.0,2.0,0.0,0.0,5.0,0.0,1.0,0.3,Atletico-Madrid
Marcos Llorente,es ESP,"MF,DF",28,37,29,2565.0,6.0,4.0,0.0,5.0,0.0,4.1,5.6,Atletico-Madrid
Mario Hermoso,es ESP,DF,28,31,29,2557.0,0.0,1.0,0.0,9.0,0.0,1.4,0.8,Atletico-Madrid
Samuel Lino,br BRA,"DF,MF",23,34,25,2080.0,4.0,5.0,0.0,1.0,0.0,5.6,4.7,Atletico-Madrid
Rodrigo De Paul,ar ARG,MF,29,34,25,2075.0,3.0,5.0,0.0,7.0,0.0,1.8,5.0,Atletico-Madrid
Álvaro Morata,es ESP,FW,30,32,21,1904.0,15.0,3.0,0.0,4.0,1.0,13.8,1.7,Atletico-Madrid
Nahuel Molina,ar ARG,DF,25,30,19,1852.0,2.0,3.0,0.0,4.0,1.0,1.3,2.9,Atletico-Madrid
Stefan Savić,me MNE,DF,32,23,19,1630.0,0.0,0.0,0.0,7.0,1.0,0.3,0.1,Atletico-Madrid
Pablo Barrios,es ESP,MF,20,24,17,1555.0,0.0,1.0,0.0,5.0,0.0,0.9,1.9,Atletico-Madrid
Rodrigo Riquelme,es ESP,"DF,MF",23,34,17,1528.0,3.0,5.0,0.0,1.0,0.0,2.7,3.1,Atletico-Madrid
Ángel Correa,ar ARG,"FW,MF",28,32,14,1528.0,9.0,2.0,1.0,3.0,0.0,7.9,3.6,Atletico-Madrid
César Azpilicueta,es ESP,DF,33,25,14,1423.0,0.0,2.0,0.0,4.0,0.0,0.6,2.4,Atletico-Madrid
Saúl Ñíguez,es ESP,MF,28,34,14,1374.0,1.0,4.0,0.0,10.0,1.0,1.5,3.2,Atletico-Madrid
José María Giménez,uy URU,DF,28,22,14,1326.0,0.0,0.0,0.0,5.0,0.0,0.4,0.1,Atletico-Madrid
Memphis,nl NED,FW,29,23,9,893.0,5.0,1.0,0.0,2.0,0.0,5.8,1.8,Atletico-Madrid
Reinildo Mandava,mz MOZ,DF,29,16,7,731.0,2.0,1.0,0.0,2.0,0.0,0.9,0.6,Atletico-Madrid
Gabriel Paulista,br BRA,DF,32,5,5,405.0,0.0,0.0,0.0,1.0,0.0,0.2,0.1,Atletico-Madrid
Yannick Carrasco,be BEL,DF,29,3,3,221.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,Atletico-Madrid
Thomas Lemar,fr FRA,MF,27,3,3,164.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Atletico-Madrid
Arthur Vermeeren,be BEL,MF,18,5,2,162.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,Atletico-Madrid
Çağlar Söyüncü,tr TUR,DF,27,6,1,114.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Atletico-Madrid
Javi Galán,es ESP,DF,28,5,0,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Atletico-Madrid
Salim El Jebari,ma MAR,MF,19,1,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico-Madrid
Abdellah Raihani,ma MAR,FW,19,1,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico-Madrid
Rayane Belaid,es ESP,DF,18,0,0,,,,,,,,,Atletico-Madrid
João Félix,pt POR,"FW,MF",23,0,0,,,,,,,,,Atletico-Madrid
Aitor Gismera,es ESP,MF,19,0,0,,,,,,,,,Atletico-Madrid
Antonio Gomis,es ESP,GK,20,0,0,,,,,,,,,Atletico-Madrid
Ivo Grbić,hr CRO,GK,27,0,0,,,,,,,,,Atletico-Madrid
Ilias Kostis,gr GRE,DF,20,0,0,,,,,,,,,Atletico-Madrid
Sergio Mestre,es ESP,GK,18,0,0,,,,,,,,,Atletico-Madrid
Horaţiu Moldovan,ro ROU,GK,25,0,0,,,,,,,,,Atletico-Madrid
Marco Moreno,es ESP,DF,22,0,0,,,,,,,,,Atletico-Madrid
Adrian Niño,es ESP,FW,19,0,0,,,,,,,,,Atletico-Madrid
Squad Total,,,,38,418,3420.0,68.0,48.0,5.0,89.0,5.0,62.4,47.4,Atletico-Madrid
Unai Simón,es ESP,GK,26,36,36,3182.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Athletic-Club
Iñaki Williams,gh GHA,FW,29,34,32,2844.0,12.0,3.0,0.0,4.0,0.0,9.4,6.3,Athletic-Club
Daniel Vivian,es ESP,DF,24,33,31,2878.0,0.0,0.0,0.0,6.0,0.0,0.6,0.7,Athletic-Club
Aitor Paredes,es ESP,DF,23,34,31,2704.0,1.0,0.0,0.0,9.0,1.0,1.2,0.2,Athletic-Club
Gorka Guruzeta,es ESP,FW,26,32,30,2217.0,14.0,5.0,0.0,2.0,0.0,11.6,2.4,Athletic-Club
Nico Williams,es ESP,FW,21,31,29,2263.0,5.0,11.0,0.0,6.0,1.0,6.0,5.7,Athletic-Club
Óscar de Marcos,es ESP,DF,34,28,26,2258.0,1.0,5.0,0.0,5.0,0.0,0.6,3.1,Athletic-Club
Iñigo Ruiz de Galarreta,es ESP,MF,29,29,25,2091.0,1.0,1.0,0.0,7.0,0.0,0.3,2.3,Athletic-Club
Oihan Sancet,es ESP,MF,23,30,25,1975.0,4.0,5.0,0.0,5.0,2.0,6.3,4.7,Athletic-Club
Iñigo Lekue,es ESP,DF,30,27,22,2002.0,0.0,2.0,0.0,4.0,0.0,0.2,1.1,Athletic-Club
Yuri Berchiche,es ESP,DF,33,27,22,1930.0,3.0,1.0,0.0,5.0,0.0,0.9,1.6,Athletic-Club
Mikel Vesga,es ESP,MF,30,27,18,1534.0,3.0,1.0,2.0,2.0,0.0,2.7,1.2,Athletic-Club
Beñat Prados,es ESP,"MF,DF",22,26,16,1449.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,Athletic-Club
Álex Berenguer,es ESP,FW,28,35,15,1592.0,7.0,3.0,1.0,4.0,0.0,5.2,3.7,Athletic-Club
Yeray Álvarez,es ESP,DF,28,19,14,1152.0,0.0,0.0,0.0,1.0,1.0,0.3,0.1,Athletic-Club
Ander Herrera,es ESP,MF,33,23,10,1030.0,0.0,3.0,0.0,4.0,0.0,0.7,1.2,Athletic-Club
Unai Gómez,es ESP,MF,20,25,9,875.0,2.0,0.0,0.0,1.0,0.0,1.5,0.7,Athletic-Club
Dani García,es ESP,MF,33,17,7,745.0,1.0,0.0,0.0,4.0,0.0,0.8,0.2,Athletic-Club
Iker Muniain,es ESP,"MF,FW",30,20,5,594.0,2.0,0.0,0.0,1.0,0.0,1.7,0.4,Athletic-Club
Imanol,es ESP,DF,23,9,5,525.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,Athletic-Club
Asier Villalibre,es ESP,FW,25,18,4,513.0,2.0,1.0,0.0,0.0,0.0,1.7,1.0,Athletic-Club
Adu Ares,es ESP,FW,21,12,2,265.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Athletic-Club
Julen Agirrezabala,es ESP,GK,22,4,2,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic-Club
Raúl García,es ESP,"FW,MF",37,20,1,420.0,1.0,0.0,0.0,3.0,0.0,0.9,0.0,Athletic-Club
Mikel Jauregizar,es ESP,MF,19,7,1,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Athletic-Club
Peru Nolaskoain,es ESP,"DF,MF",24,2,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic-Club
Aingeru Olabarrieta,es ESP,FW,17,1,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic-Club
Unai Eguíluz,es ESP,DF,21,0,0,,,,,,,,,Athletic-Club
Javi Martón,es ESP,FW,24,0,0,,,,,,,,,Athletic-Club
Alex Padilla,es ESP,GK,19,0,0,,,,,,,,,Athletic-Club
Hugo Rincón,es ESP,DF,20,0,0,,,,,,,,,Athletic-Club
Squad Total,,,,38,418,3420.0,59.0,41.0,3.0,80.0,5.0,52.7,37.0,Athletic-Club
Álex Remiro,es ESP,GK,28,37,37,3275.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Real-Sociedad
Martín Zubimendi,es ESP,MF,24,31,29,2654.0,4.0,1.0,0.0,5.0,0.0,2.7,1.5,Real-Sociedad
Igor Zubeldia,es ESP,DF,26,30,29,2518.0,0.0,2.0,0.0,11.0,1.0,0.8,1.1,Real-Sociedad
Robin Le Normand,es ESP,DF,26,29,28,2469.0,2.0,0.0,0.0,13.0,0.0,1.0,0.1,Real-Sociedad
Mikel Merino,es ESP,MF,27,32,27,2482.0,5.0,3.0,0.0,10.0,0.0,3.3,1.9,Real-Sociedad
Brais Méndez,es ESP,"MF,FW",26,32,27,2413.0,5.0,6.0,0.0,7.0,0.0,4.2,4.2,Real-Sociedad
Hamari Traoré,ml MLI,DF,31,31,27,2292.0,0.0,2.0,0.0,7.0,0.0,0.5,1.5,Real-Sociedad
Takefusa Kubo,jp JPN,"FW,MF",22,30,24,2150.0,7.0,4.0,0.0,1.0,0.0,3.5,6.4,Real-Sociedad
Mikel Oyarzabal,es ESP,"FW,MF",26,33,23,2156.0,9.0,3.0,2.0,3.0,0.0,9.1,1.7,Real-Sociedad
Ander Barrenetxea,es ESP,"FW,MF",21,29,20,1427.0,4.0,1.0,0.0,1.0,0.0,3.5,1.3,Real-Sociedad
Beñat Turrientes,es ESP,MF,21,29,19,1687.0,0.0,1.0,0.0,4.0,0.0,1.2,0.5,Real-Sociedad
Jon Pacheco,es ESP,DF,22,23,16,1526.0,1.0,1.0,0.0,8.0,0.0,1.1,0.2,Real-Sociedad
Arsen Zakharyan,ru RUS,"MF,FW",20,29,15,1228.0,1.0,2.0,0.0,1.0,0.0,2.4,2.1,Real-Sociedad
Kieran Tierney,sct SCO,DF,26,20,14,1238.0,0.0,2.0,0.0,1.0,0.0,0.2,0.6,Real-Sociedad
Javi Galán,es ESP,DF,28,14,13,1075.0,0.0,1.0,0.0,3.0,0.0,0.1,0.7,Real-Sociedad
Umar Sadiq,ng NGA,FW,26,26,12,1077.0,3.0,1.0,0.0,4.0,0.0,3.6,1.1,Real-Sociedad
Aihen Muñoz,es ESP,DF,25,21,11,1127.0,0.0,2.0,0.0,2.0,0.0,0.3,2.0,Real-Sociedad
André Silva,pt POR,FW,27,19,9,729.0,3.0,0.0,1.0,1.0,0.0,3.3,0.3,Real-Sociedad
Sheraldo Becker,sr SUR,"FW,MF",28,15,8,771.0,2.0,2.0,0.0,1.0,0.0,1.4,1.8,Real-Sociedad
Aritz Elustondo,es ESP,DF,29,15,7,812.0,0.0,1.0,0.0,2.0,0.0,0.3,0.6,Real-Sociedad
Álvaro Odriozola,es ESP,DF,27,9,6,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Real-Sociedad
Jon Aramburu,ve VEN,DF,21,11,5,543.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,Real-Sociedad
Carlos Fernández,es ESP,FW,27,10,5,408.0,2.0,1.0,1.0,3.0,0.0,1.5,0.5,Real-Sociedad
Olasagasti,es ESP,MF,22,14,2,360.0,0.0,0.0,0.0,3.0,0.0,0.9,0.3,Real-Sociedad
Urko González,es ESP,MF,22,5,2,156.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Real-Sociedad
Mohamed Ali Cho,fr FRA,"FW,MF",19,11,1,249.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,Real-Sociedad
Unai Marrero,es ESP,GK,21,2,1,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Sociedad
Jon Magunacelaya,es ESP,"FW,MF",23,5,1,121.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,Real-Sociedad
Alex Sola,es ESP,"DF,MF",24,2,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Sociedad
Alberto Dadie,es ESP,MF,21,1,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Sociedad
Jon Martin,es ESP,DF,17,1,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Sociedad
Gaizka Ayesa,es ESP,GK,22,0,0,,,,,,,,,Real-Sociedad
Bryan Fiabema,no NOR,FW,20,0,0,,,,,,,,,Real-Sociedad
Aitor Fraga,es ESP,GK,20,0,0,,,,,,,,,Real-Sociedad
Jon Karrikaburu,es ESP,FW,20,0,0,,,,,,,,,Real-Sociedad
Pablo Marín,es ESP,MF,20,0,0,,,,,,,,,Real-Sociedad
Roberto Navarro,es ESP,MF,21,0,0,,,,,,,,,Real-Sociedad
Diego Rico,es ESP,DF,30,0,0,,,,,,,,,Real-Sociedad
Iñaki Rupérez,es ESP,DF,20,0,0,,,,,,,,,Real-Sociedad
Squad Total,,,,38,418,3420.0,48.0,36.0,4.0,98.0,2.0,44.9,30.7,Real-Sociedad
Germán Pezzella,ar ARG,DF,32,,32,2767.0,1.0,0.0,0.0,7.0,0.0,2.0,0.3,Real-Betis
Ayoze Pérez,es ESP,FW,30,,29,2294.0,9.0,1.0,0.0,4.0,0.0,7.4,3.9,Real-Betis
Rui Silva,pt POR,GK,29,,28,2475.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Real-Betis
Isco,es ESP,MF,31,,28,2326.0,8.0,5.0,2.0,10.0,0.0,8.3,6.4,Real-Betis
Willian José,br BRA,FW,31,,25,1971.0,10.0,5.0,0.0,0.0,1.0,5.7,2.5,Real-Betis
Chadi Riad,ma MAR,DF,20,,24,2164.0,0.0,0.0,0.0,1.0,0.0,0.7,0.2,Real-Betis
Marc Roca,es ESP,MF,26,,24,1980.0,2.0,2.0,0.0,5.0,0.0,1.1,1.4,Real-Betis
Guido Rodríguez,ar ARG,MF,29,,22,1846.0,2.0,0.0,0.0,6.0,0.0,0.7,0.8,Real-Betis
Juan Miranda,es ESP,DF,23,,21,1858.0,1.0,1.0,0.0,8.0,0.0,1.6,1.9,Real-Betis
Héctor Bellerín,es ESP,DF,28,,20,1711.0,0.0,1.0,0.0,0.0,1.0,0.2,1.6,Real-Betis
Abner,br BRA,DF,23,,15,1400.0,0.0,1.0,0.0,3.0,0.0,0.1,1.0,Real-Betis
Johnny Cardoso,us USA,MF,21,,15,1328.0,1.0,2.0,0.0,3.0,0.0,1.1,0.5,Real-Betis
Pablo Fornals,es ESP,"FW,MF",27,,14,1148.0,3.0,2.0,0.0,2.0,0.0,1.8,1.6,Real-Betis
Assane Diao,es ESP,FW,17,,13,1048.0,2.0,0.0,0.0,4.0,0.0,2.5,0.7,Real-Betis
Sokratis Papastathopoulos,gr GRE,DF,35,,12,1136.0,0.0,0.0,0.0,6.0,0.0,0.3,0.0,Real-Betis
Youssouf Sabaly,sn SEN,DF,30,,12,1046.0,0.0,1.0,0.0,2.0,0.0,0.1,0.5,Real-Betis
Aitor Ruibal,es ESP,"DF,FW",27,,11,1017.0,2.0,1.0,0.0,5.0,0.0,0.8,1.3,Real-Betis
